,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-77.71697840000002,42.7230474,6135,West Lake Road,,Groveland,Livingston,NY,,LIVI017568,b1632818c3836c3b
1,-77.6035445,42.3647739,2258,County Route 70A,,Fremont,Steuben,NY,,STEU023552,ce11d7ab023c7fcc
2,-76.4951522,42.4554077,509,Lake Street,Unit E6,Ithaca,Tompkins,NY,,TOMP038695,00089082814cdd76
3,-77.650426,43.212122799999996,3,Bonesteel Circle,Unit 3,Greece,Monroe,NY,,MONR313161,b5f812a2285596b3
4,-77.6188858,43.2372086,222,Afton Street,,Rochester,Monroe,NY,,MONR049265,f66d324ff7ad33cc
5,-77.6278507,43.1429781,136,Bartlett Street,,Rochester,Monroe,NY,,MONR069097,377c5a3d6622236c
6,-77.3384815,42.940349600000005,2150,Turfside Court,,Canandaigua,Ontario,NY,,ONTA034150,baa068e399dabc1c
7,-77.3227437,42.926486100000005,5552,Centerpointe Boulevard,Apartment 2,Canandaigua,Ontario,NY,,ONTA045888,d146263a01d5b10d
8,-77.99145870000001,42.9857314,118,Lake Street,,Le Roy,Genesee,NY,,GENE009920,09ced3c6dc916654
9,-77.9292306,43.074025,8070,Chili Riga Center Road,,Riga,Monroe,NY,,MONR316926,8d8a9262053d1967
10,-78.49151440000001,42.9088995,13335,Cherry Tree Lane,,Alden,Erie,NY,,ERIE067629,dd61baaa8137b74e
11,-78.2723855,42.763991600000004,2325,Snyder Road,Apartment G,Orangeville,Wyoming,NY,,WYOM018015,72f04e5ca6ff5137
12,-78.7063496,43.018535,70,Van Pelt Court,,Amherst,Erie,NY,,ERIE277257,cebae1379aac435d
13,-78.7610066,42.884640000000005,34,Williamstowne Court,Apartment 11,Cheektowaga,Erie,NY,,ERIE466857,b89240283e5a7f03
14,-78.8118873,42.9025399,19,Scheu Park,Apartment 2,Buffalo,Erie,NY,,ERIE414025,2706edda4d13ebeb
15,-78.80468640000001,42.891014899999995,227,Gold Street,,Buffalo,Erie,NY,,ERIE420770,d0ffae41514f4204
16,-78.8067655,42.8364271,1028,Abbott Road,Apartment 1,Buffalo,Erie,NY,,ERIE427470,695f95358a30ec1b
17,-78.8459213,42.9405989,1580,Amherst Street,Apartment 3,Buffalo,Erie,NY,,ERIE425082,e1e28189e52f5408
18,-78.8554296,42.95190170000001,265,North Park Avenue,Apartment 1,Buffalo,Erie,NY,,ERIE394560,f050a286c0a65f2c
19,-78.8446452,42.9732449,86,Krehmore Place,,Tonawanda,Erie,NY,,ERIE245365,463f73e47e88204f
20,-78.9012199,42.9542914,88,Ross Avenue,Apartment 2,Buffalo,Erie,NY,,ERIE414693,14461f23bbe56648
21,-78.836344,43.0260445,1274,Sweeney Street,,North Tonawanda,Niagara,NY,,NIAG089248,40df083c04ee2571
